label,scenario,detected,files_changed,files_before_detection,time_to_detect_sec,max_probability,entropy,uniform_dist,write_burst,dir_spread,rename_burst,suspicious_rename_target,header_mismatch,files_per_sec,extension_change_ratio,entropy_mean,entropy_max,uniform_mean,files_per_sec_max,write_burst_seen,dir_spread_seen,rename_burst_seen,suspicious_rename_target_seen,extension_change_ratio_max,header_mismatch_count
0,mass_zip,0,5,0,-1,0.0813,0.9771,0.2227,0,0,0,0,0,0.5,0,5.3814,7.9486,0.6573,0.5,0,0,0,0,0,0
0,temp_churn,0,53,0,-1,0.8933,0.6138,1.6113,1,0,0,0,0,4.8,0,4.8164,4.9728,1.7437,4.8,1,0,0,0,0,0
0,backup_snapshot,1,41,36,0.612,0.9967,0.9998,0.1904,1,1,0,0,1,3.6,0,4.6982,7.9983,1.6059,4.1,1,1,0,0,0,4
0,bulk_append,0,23,0,-1,0.3099,0.744,1.4434,1,0,0,0,0,2.2,0,4.7676,5.9567,1.6844,2.3,1,0,0,0,0,0
0,mass_copy,0,26,0,-1,0.7564,0.9998,0.1919,1,0,0,0,1,0.9,0,4.1818,7.9983,1.681,2.6,1,1,0,0,0,2
0,mass_rename,1,57,46,0.667,0.9707,0.9998,0.1992,1,0,0,0,1,2.8,0,4.9963,7.9984,1.5664,2.9,1,0,0,0,0,3
0,mass_delete,0,31,0,-1,0.5365,0.7404,1.4922,1,0,0,0,0,3,0,4.6067,5.9423,1.6745,3.1,1,0,0,0,0,0
0,mass_extract,0,19,0,-1,0.462,0.7416,1.4922,1,1,0,0,0,1.8,0,4.9147,7.9368,1.4571,1.9,1,1,0,0,0,0
0,bulk_append,0,23,0,-1,0.3114,0.7486,1.442,1,0,0,0,0,2.2,0,5.0857,5.9884,1.6354,2.3,1,0,0,0,0,0
0,mass_zip,0,5,0,-1,0.075,0.9947,0.2065,0,0,0,0,0,0.4,0,7.033,7.9984,0.4549,0.5,0,0,0,0,0,0
0,temp_churn,0,52,0,-1,0.867,0.6145,1.6123,1,0,0,0,0,4.6,0,4.7874,4.9251,1.7491,4.6,1,0,0,0,0,0
0,backup_snapshot,1,41,19,0.375,0.9945,0.9998,0.2075,1,1,0,0,1,3.2,0,4.7945,7.9982,1.584,4.1,1,1,0,0,0,5
0,mass_delete,0,28,0,-1,0.499,0.6177,1.6201,1,0,0,0,0,3.1,0,4.5996,7.9981,1.6887,3.1,1,0,0,0,0,0
0,mass_rename,1,57,34,0.514,0.9702,0.9998,0.2163,1,0,0,0,1,2.8,0,5.1094,7.9984,1.5284,2.9,1,0,0,0,0,4
0,mass_copy,0,26,0,-1,0.6405,0.6238,1.6211,1,1,0,0,0,2.6,0,4.9394,6.0454,1.6537,2.6,1,1,0,0,0,0
0,mass_move,1,49,44,0.567,0.9695,0.6259,1.6157,1,1,0,0,0,4.9,0,4.771,7.9982,1.63,4.9,1,1,0,0,0,0
0,mass_zip,0,5,0,-1,0.0752,0.9998,0.2085,0,0,0,0,0,0.4,0,5.8852,7.9985,0.6159,0.5,0,0,0,0,0,0
0,mass_copy,0,26,0,-1,0.9387,0.9998,0.2217,1,0,0,0,1,2.2,0,4.8399,7.9982,1.5824,2.6,1,1,0,0,0,2
0,mass_delete,0,31,0,-1,0.5144,0.7554,1.4736,1,0,0,0,0,2.9,0,4.9211,7.9982,1.6099,3.1,1,0,0,0,0,0
0,mass_extract,0,19,0,-1,0.4621,0.7418,1.4922,1,1,0,0,0,1.8,0,5.3773,7.9983,1.2964,1.9,1,1,0,0,0,0
0,temp_churn,0,52,0,-1,0.8933,0.6136,1.6118,1,0,0,0,0,4.8,0,4.7329,4.9086,1.7513,4.8,1,0,0,0,0,0
0,mass_rename,0,57,0,-1,0.4825,0.7373,1.4549,1,0,0,0,0,2.8,0,4.7608,5.9435,1.6645,2.9,1,0,0,0,0,0
0,bulk_append,0,23,0,-1,0.3087,0.7381,1.442,1,0,0,0,0,2.2,0,4.9688,5.9471,1.6655,2.3,1,0,0,0,0,0
0,mass_move,1,49,44,0.608,0.9698,0.6285,1.6099,1,1,0,0,0,4.9,0,4.5375,5.9375,1.6884,4.9,1,1,0,0,0,0
0,backup_snapshot,1,41,20,0.305,0.9957,0.9997,0.2007,1,1,0,0,1,3.4,0,5.0733,7.9984,1.458,4.1,1,1,0,0,0,6
0,bulk_append,0,23,0,-1,0.3081,0.7399,1.4467,1,0,0,0,0,2.2,0,5.239,5.9473,1.5988,2.3,1,0,0,0,0,0
0,mass_move,1,48,47,0.636,0.9732,0.7367,1.4922,1,1,0,0,0,4.8,0,4.621,5.9364,1.6872,4.9,1,1,0,0,0,0
0,mass_delete,0,28,0,-1,0.4995,0.6194,1.6201,1,0,0,0,0,3.1,0,4.9401,7.9982,1.6124,3.1,1,0,0,0,0,0
0,temp_churn,0,53,0,-1,0.8671,0.6133,1.6104,1,0,0,0,0,4.6,0,4.7584,4.953,1.7484,4.6,1,0,0,0,0,0
0,mass_extract,0,19,0,-1,0.502,0.9998,0.1919,0,0,0,0,1,0.8,0,4.4686,7.9983,1.4692,1.9,1,1,0,0,0,2
0,backup_snapshot,1,41,30,0.597,0.9929,0.9998,0.2041,1,1,0,0,1,3,0,4.8727,7.9984,1.6109,4.1,1,1,0,0,0,4
0,mass_rename,0,57,0,-1,0.482,0.7373,1.4568,1,0,0,0,0,2.8,0,5.1517,5.939,1.5933,2.9,1,0,0,0,0,0
0,mass_copy,0,26,0,-1,0.6402,0.6248,1.6235,1,1,0,0,0,2.6,0,4.7145,6.0428,1.6688,2.6,1,1,0,0,0,0
0,mass_zip,0,5,0,-1,0.0754,0.9946,0.2002,0,0,0,0,0,0.4,0,5.7777,7.998,0.5884,0.5,0,0,0,0,0,0
0,mass_copy,0,26,0,-1,0.6427,0.6258,1.6138,1,1,0,0,0,2.6,0,4.434,7.9981,1.668,2.6,1,1,0,0,0,0
0,temp_churn,0,50,0,-1,0.8665,0.6133,1.6152,1,0,0,0,0,4.6,0,4.7483,4.9174,1.7516,4.6,1,0,0,0,0,0
0,backup_snapshot,1,41,31,0.754,0.9938,0.9998,0.2007,1,1,0,0,1,3.1,0,4.9786,7.9981,1.628,4.1,1,1,0,0,0,2
0,mass_zip,0,5,0,-1,0.0749,0.9958,0.208,0,0,0,0,0,0.4,0,6.7492,7.9665,0.5214,0.5,0,0,0,0,0,0
0,mass_extract,0,19,0,-1,0.4303,0.6219,1.6021,1,1,0,0,0,1.9,0,4.7362,7.9338,1.4712,1.9,1,1,0,0,0,0
0,mass_rename,0,57,0,-1,0.4831,0.7543,1.4727,1,0,0,0,0,2.8,0,4.6595,6.0341,1.6947,2.9,1,0,0,0,0,0
0,mass_delete,0,31,0,-1,0.8529,0.9998,0.1919,1,0,0,0,1,1.4,0,4.7792,7.9983,1.5487,3.1,1,0,0,0,0,5
0,mass_move,1,48,45,0.582,0.9991,0.9998,0.2163,1,1,0,0,1,4.7,0,4.8065,7.9981,1.5631,4.9,1,1,0,0,0,3
0,bulk_append,0,23,0,-1,0.3093,0.7407,1.4421,1,0,0,0,0,2.2,0,5.0409,5.9576,1.6476,2.3,1,0,0,0,0,0
0,backup_snapshot,0,41,0,-1,0.9309,0.7438,1.4922,1,1,0,0,0,4,0,4.7361,7.9983,1.6215,4.1,1,1,0,0,0,2
0,temp_churn,0,53,0,-1,0.8931,0.6141,1.6138,1,0,0,0,0,4.8,0,4.7813,4.9681,1.7489,4.8,1,0,0,0,0,0
0,mass_extract,0,19,0,-1,0.4622,0.7423,1.4922,1,1,0,0,0,1.8,0,4.8113,7.9288,1.471,1.9,1,1,0,0,0,0
0,mass_zip,0,5,0,-1,0.0745,0.9942,0.2129,0,0,0,0,0,0.4,0,5.7488,7.9981,0.6479,0.5,0,0,0,0,0,0
0,mass_copy,0,26,0,-1,0.6434,0.6266,1.6118,1,1,0,0,0,2.6,0,4.9978,6.0429,1.61,2.6,1,1,0,0,0,0
0,bulk_append,0,23,0,-1,0.3101,0.745,1.4437,1,0,0,0,0,2.2,0,5.1034,5.9603,1.6309,2.3,1,0,0,0,0,0
0,mass_rename,1,57,25,0.667,0.9708,0.9998,0.1943,1,0,0,0,1,2.8,0,4.9456,7.9981,1.6108,2.9,1,0,0,0,0,3
0,mass_move,1,49,30,0.39,0.9989,0.9998,0.2075,1,1,0,0,1,4.5,0,4.9042,7.9983,1.5836,4.9,1,1,0,0,0,6
0,mass_delete,1,31,29,0.441,0.9738,0.9998,0.21,1,0,0,0,1,2.9,0,4.9929,7.9983,1.5738,3.1,1,0,0,0,0,4
0,mass_copy,0,26,0,-1,0.6406,0.6235,1.6201,1,1,0,0,0,2.6,0,4.8114,5.9378,1.6646,2.6,1,1,0,0,0,0
